theta,wvl,flux,r,n,log_mstar,log_mdust_over_mstar
26.53,0.1086363046,3.08475348010902e-11,10.959275094569074,0.200000000001189,11.32,-2.74
26.53,0.119355166,2.63881451681175e-11,10.71130502320992,0.20000000360833078,11.32,-2.74
26.53,0.1311316297,3.1307364689728996e-11,10.63439962105035,0.20000000000116994,11.32,-2.74
26.53,0.1440700463,2.7807392095634e-11,10.38549017365811,0.20000000002037854,11.32,-2.74
26.53,0.1582850629,2.3610798189999e-11,10.262548019756542,0.20000000181457353,11.32,-2.74
26.53,0.1739026381,2.3829166648269e-11,10.038605787007956,0.20000006871550433,11.32,-2.74
26.53,0.1910611589,2.0348238460106e-11,10.17482825191779,0.20000000000764873,11.32,-2.74
26.53,0.2099126662,1.8489579519360002e-11,10.37511035607821,0.20000001158045977,11.32,-2.74
26.53,0.2306242028,1.5570804018704e-11,10.312200460761654,0.2000000000012652,11.32,-2.74
26.53,0.2533792927,1.4451249523725e-11,10.101321292668425,0.20000000000002946,11.32,-2.74
26.53,0.2783795681,1.3890855526003999e-11,9.845489083826205,0.20000000000142973,11.32,-2.74
26.53,0.3058465557,1.3995262384073001e-11,9.52115216140855,0.20000000000007276,11.32,-2.74
26.53,0.3360236395,1.3425788448944e-11,9.116143712793573,0.2,11.32,-2.74
26.53,0.3691782175,1.4659790124795998e-11,8.874298137642235,0.20000004621335546,11.32,-2.74
26.53,0.4056040715,2.1549208083099e-11,8.782520134302434,0.20000000000000046,11.32,-2.74
26.53,0.4456239698,2.2960302582014e-11,8.650581339475298,0.2000000008193967,11.32,-2.74
26.53,0.4895925272,2.2920521019058003e-11,8.464290436654926,0.20000000033528736,11.32,-2.74
26.53,0.5378993478,2.2399066270352e-11,8.309845362884547,0.20000000000000046,11.32,-2.74
26.53,0.5909724767,2.2688730557661e-11,8.157201341438832,0.20000000199816564,11.32,-2.74
26.53,0.6492821931,2.1945125349705e-11,8.033770598638425,0.20000000085369274,11.32,-2.74
26.53,0.7133451775,2.2095563477513e-11,7.867125243789158,0.2079204760687214,11.32,-2.74
26.53,0.7837290898,2.2080182892496e-11,7.732466872464653,0.22216517879361286,11.32,-2.74
26.53,0.8610575996,2.2312163228731e-11,7.582994800086777,0.23282204395234463,11.32,-2.74
26.53,0.9460159122,2.3137966145737e-11,7.429296266203963,0.2509962314493801,11.32,-2.74
26.53,1.03935684,2.348889695699244e-11,7.268733369309227,0.25997930143647363,11.32,-2.74
26.53,1.141907475,2.247771126256439e-11,7.073036401255715,0.2799268936576959,11.32,-2.74
26.53,1.254576514,2.24602113382361e-11,6.8616346527778775,0.29887075522620515,11.32,-2.74
26.53,1.378362314,2.31662519270797e-11,6.631380400832632,0.2949380989599284,11.32,-2.74
26.53,1.514361737,2.3871780994666098e-11,6.44212347286545,0.2996942577336862,11.32,-2.74
26.53,1.663779868,2.5664118004517e-11,6.214744076240574,0.31205318584781433,11.32,-2.74
26.53,1.827940698,2.5503507236875e-11,6.014995904377976,0.3120424561468147,11.32,-2.74
26.53,2.00829885,2.5520867075761e-11,5.756729102019886,0.3129731358509348,11.32,-2.74
26.53,2.206452472,2.5066532131322e-11,5.542318471678436,0.2991892159738765,11.32,-2.74
26.53,2.424157395,2.4052408847087e-11,5.288872822204437,0.2951671372253124,11.32,-2.74
26.53,2.663342697,2.5490953364406e-11,5.135077837993858,0.2998980145754029,11.32,-2.74
26.53,2.92612779,2.7628021725728e-11,4.97756836111021,0.31178379995509614,11.32,-2.74
26.53,3.0,2.9372357068875e-11,4.705017728877229,0.35317408519936405,11.32,-2.74
26.53,3.222555553,3.315492460803e-11,4.568080958688801,0.36634534717073475,11.32,-2.74
26.53,3.46162143,3.6964283580402e-11,4.4455663202580205,0.38396177506644735,11.32,-2.74
26.53,3.718422454,3.4165378505369e-11,4.298473704756872,0.42463389670459484,11.32,-2.74
26.53,3.994274309,3.4835946259024e-11,4.166584945415775,0.46360059633460265,11.32,-2.74
26.53,4.290590285,3.5670051780272e-11,3.9992868796450423,0.49246686622906943,11.32,-2.74
26.53,4.608888516,3.5804304113083996e-11,3.8625969498191908,0.5036439951666087,11.32,-2.74
26.53,4.95079976,3.6360520868488e-11,3.706385683031254,0.52429470388029,11.32,-2.74
26.53,5.318075752,3.6538968569144e-11,3.5912503331527628,0.5684274043559785,11.32,-2.74
26.53,5.712598182,4.0453919646505e-11,3.5190973273711266,0.5850600974193187,11.32,-2.74
26.53,6.136388331,5.7026142090524e-11,3.4480543724456334,0.575657173273155,11.32,-2.74
26.53,6.59161743,4.8672133268312e-11,3.3642336724277424,0.6313149068358743,11.32,-2.74
26.53,7.080617784,6.0574586113786e-11,3.2868247906724846,0.6549190148165527,11.32,-2.74
26.53,7.605894719,9.2019780742435e-11,3.3270851425177455,0.6386108559068447,11.32,-2.74
